epoch,train_loss,test_loss,train_acc,test_acc
0.0,1.684821227375342,1.4212943345308304,0.39148,0.4744
1.0,1.2431687718751478,1.124966485798359,0.55294,0.5952
2.0,1.0225449021981687,0.94983179718256,0.6354,0.6575
3.0,0.8751807808876038,0.8565580055117608,0.68972,0.6936
4.0,0.775164219797874,0.7823868513107299,0.72668,0.7284
5.0,0.7015651056961137,0.7217019543051719,0.75216,0.7464
6.0,0.6430641158807034,0.6621452629566192,0.77488,0.7722
7.0,0.5952096620992738,0.6322637595236301,0.79186,0.7842
8.0,0.5604106283613614,0.5883770301938057,0.80244,0.7967
9.0,0.534065800813996,0.5664657853543759,0.81422,0.8084
10.0,0.49950338063799604,0.5890046872198582,0.82572,0.7975
11.0,0.47884387416499,0.5396250352263451,0.83314,0.8193
12.0,0.4532216480191873,0.5172442406415939,0.8418,0.8213
13.0,0.4346104904401059,0.511373621225357,0.8494,0.8262
14.0,0.41496175816472697,0.5015867136418819,0.85608,0.8289
15.0,0.39805659089161427,0.4964966833591461,0.86264,0.8268
16.0,0.3834003906468956,0.47188427969813346,0.86506,0.8379
17.0,0.36950514541596785,0.47932699099183085,0.8724,0.8423
18.0,0.35528439967607967,0.46625791415572165,0.87646,0.8427
19.0,0.34577668366991743,0.4560501553118229,0.8809,0.848
20.0,0.33342666695920786,0.4788835562765598,0.88304,0.8422
21.0,0.3207718996065004,0.4562234960496426,0.88826,0.854
22.0,0.31211238917039363,0.4652574799954891,0.88914,0.8501
23.0,0.3029207555311067,0.4438030205667019,0.8933,0.8521
24.0,0.285391844733029,0.431755056232214,0.89966,0.8547
25.0,0.280811107280303,0.4317637674510479,0.90234,0.854
26.0,0.27168182572539973,0.43289372846484186,0.90594,0.858
27.0,0.2677398861518928,0.45154655128717425,0.90648,0.852
28.0,0.2567679391679715,0.43965623900294304,0.90994,0.8579
29.0,0.25156945659189806,0.4506205178797245,0.91164,0.8564
30.0,0.24334856289990095,0.4400004826486111,0.91456,0.8553
31.0,0.23595022508988575,0.44511290863156316,0.91558,0.8586
32.0,0.23190745627697634,0.4142701745033264,0.91836,0.8665
33.0,0.2258480683121146,0.43034563958644867,0.92038,0.8682
34.0,0.22186553713922597,0.4427124850451946,0.9216,0.8613
35.0,0.21594123192587678,0.4577171802520752,0.92362,0.8577
36.0,0.20673197135329247,0.4344803959131241,0.9272,0.8634
37.0,0.19963941742114874,0.4247465584427118,0.92924,0.8677
38.0,0.1994375412409403,0.4266173951327801,0.92932,0.8707
39.0,0.18929359898427311,0.43258272781968116,0.93254,0.8658
40.0,0.18421555185044297,0.4352858610451221,0.93452,0.8683
41.0,0.1801341675906157,0.4310536950826645,0.938,0.8667
42.0,0.1789057331197724,0.4368623994290829,0.93616,0.8692
43.0,0.17431893100848003,0.4017109252512455,0.9384,0.8765
44.0,0.17353695596815372,0.4024238742887974,0.93682,0.8738
45.0,0.16574084861394095,0.42692985348403456,0.9409,0.8755
46.0,0.15911833827896993,0.4406345494091511,0.94384,0.8675
47.0,0.15943596751562186,0.4343278042972088,0.94288,0.8714
48.0,0.15368081636878908,0.4214948669075966,0.94548,0.8764
49.0,0.15132319414037831,0.4310076005756855,0.94582,0.8743
50.0,0.14751938213499224,0.4334071300923824,0.94746,0.8771
51.0,0.14410621824921394,0.42875855788588524,0.94902,0.8753
52.0,0.14373012749972391,0.43932402282953265,0.94766,0.8702
53.0,0.13950632360516763,0.4321821890771389,0.95026,0.8772
54.0,0.13599180871126604,0.46580770537257193,0.95138,0.8714
55.0,0.13306779038085012,0.43775977976620195,0.9523,0.8714
56.0,0.1313675779431146,0.4359618414193392,0.95342,0.8726
57.0,0.12811704217551315,0.42689919397234916,0.95346,0.8759
58.0,0.12554703829619956,0.45084414780139925,0.9551,0.8755
59.0,0.11688542561795638,0.4464369244873524,0.95738,0.8775
60.0,0.11767885058510061,0.43444918990135195,0.95816,0.8761
61.0,0.12093378504624172,0.4524257443845272,0.957,0.8714
62.0,0.12123328943413739,0.4399759076535702,0.95666,0.8775
63.0,0.1096210277886415,0.43279087990522386,0.9603,0.8828
64.0,0.11224644604538168,0.4502625308930874,0.96028,0.8736
65.0,0.11375799777024255,0.46327361539006234,0.95972,0.8791
66.0,0.11039813946248317,0.44864594042301176,0.96046,0.8787
67.0,0.11148157200719021,0.4435454115271568,0.95962,0.8765
68.0,0.10373028854326326,0.45491844192147257,0.96324,0.8741
69.0,0.10390660246568066,0.47081739380955695,0.9625,0.8732
70.0,0.09849117874947129,0.43275221064686775,0.96522,0.8818
71.0,0.10191806324054392,0.4529378034174442,0.96312,0.8763
72.0,0.09710571198363085,0.4397531017661095,0.9654,0.8805
73.0,0.09720250705675203,0.45041323602199557,0.96434,0.8828
74.0,0.09644606707579627,0.47577778063714504,0.96542,0.8749
75.0,0.09255956611310949,0.4658211499452591,0.9669,0.8737
76.0,0.0943492264962014,0.4940824158489704,0.96522,0.8771
77.0,0.09465936052479915,0.45594314225018023,0.9665,0.8789
78.0,0.08447647109931829,0.47826074808835983,0.9697,0.8799
79.0,0.08852781343977062,0.45360209941864016,0.96832,0.8807
80.0,0.09085662024361747,0.45336308106780054,0.9664,0.881
81.0,0.0841554170664476,0.4768181346356869,0.97056,0.8755
82.0,0.08314096785093449,0.4818306669592857,0.97106,0.881
83.0,0.08598096222065542,0.4428858540952206,0.96926,0.8805
84.0,0.08286340681037732,0.47275707721710203,0.97048,0.8762
85.0,0.08403181976505689,0.4748594269156456,0.97018,0.8806
86.0,0.08159169306674478,0.47800079733133316,0.97094,0.8779
87.0,0.0824868898857765,0.4749575018882751,0.97026,0.8794
88.0,0.07852260754158606,0.4511643722653389,0.972,0.8853
89.0,0.07288240955914466,0.4794418320059776,0.97424,0.8821
90.0,0.08072968129524771,0.44432472586631777,0.97064,0.8858
91.0,0.07586031113466134,0.48154904395341874,0.973,0.8816
92.0,0.07803046918113013,0.4466578342020512,0.97232,0.8871
