dataset,variant,seed,finished_epochs,var_id
MNIST,30,0,-1,1
MNIST,30,1,-1,1
MNIST,30,2,-1,1
MNIST,30,3,-1,1
MNIST,30,4,-1,1
MNIST,30,5,-1,1
MNIST,30,6,-1,1
MNIST,30,7,-1,1
MNIST,30,8,-1,1
MNIST,30,9,-1,1
MNIST,30,10,-1,1
MNIST,30,11,-1,1
MNIST,30,12,-1,1
MNIST,30,13,-1,1
MNIST,30,14,-1,1
MNIST,30,15,-1,1
MNIST,30,16,-1,1
MNIST,30,17,-1,1
MNIST,30,18,-1,1
MNIST,30,19,-1,1
MNIST,30,20,-1,1
MNIST,30,21,-1,1
MNIST,30,22,-1,1
MNIST,30,23,-1,1
MNIST,30,24,-1,1
MNIST,30,25,-1,1
MNIST,30,26,-1,1
MNIST,30,27,-1,1
MNIST,30,28,-1,1
MNIST,30,29,-1,1
MNIST,30,30,-1,1
MNIST,30,31,-1,1
MNIST,30,32,-1,1
MNIST,30,33,-1,1
MNIST,30,34,-1,1
MNIST,30,35,-1,1
MNIST,30,36,-1,1
MNIST,30,37,-1,1
MNIST,30,38,-1,1
MNIST,30,39,-1,1
MNIST,30,40,-1,1
MNIST,30,41,-1,1
MNIST,30,42,-1,1
MNIST,30,43,-1,1
MNIST,30,44,-1,1
MNIST,30,45,-1,1
MNIST,30,46,-1,1
MNIST,30,47,-1,1
MNIST,30,48,-1,1
MNIST,30,49,-1,1
MNIST,44,10,84,2
MNIST,44,11,84,2
MNIST,44,12,84,2
MNIST,44,13,83,2
MNIST,44,14,84,2
MNIST,44,15,84,2
MNIST,44,16,84,2
MNIST,44,17,84,2
MNIST,44,18,84,2
MNIST,44,19,84,2
MNIST,44,20,85,2
MNIST,44,21,85,2
MNIST,44,22,84,2
MNIST,44,23,84,2
MNIST,44,24,84,2
MNIST,44,25,84,2
MNIST,44,26,84,2
MNIST,44,27,84,2
MNIST,44,28,84,2
MNIST,44,29,84,2
MNIST,44,30,84,2
MNIST,44,31,84,2
MNIST,44,32,0,2
MNIST,44,48,0,2
MNIST,44,49,0,2
FashionMNIST,20,0,0,0
FashionMNIST,20,1,0,0
FashionMNIST,20,2,0,0
FashionMNIST,20,3,0,0
FashionMNIST,20,4,0,0
FashionMNIST,20,5,0,0
FashionMNIST,20,6,0,0
FashionMNIST,20,7,0,0
FashionMNIST,20,8,0,0
FashionMNIST,20,9,0,0
FashionMNIST,20,10,0,0
FashionMNIST,20,11,0,0
FashionMNIST,20,12,0,0
FashionMNIST,20,14,0,0
FashionMNIST,20,15,0,0
FashionMNIST,20,16,0,0
FashionMNIST,20,17,0,0
FashionMNIST,20,18,0,0
FashionMNIST,20,23,0,0
FashionMNIST,20,24,0,0
FashionMNIST,20,36,0,0
FashionMNIST,20,37,0,0
FashionMNIST,20,38,0,0
FashionMNIST,20,39,0,0
FashionMNIST,20,40,0,0
FashionMNIST,20,42,0,0
FashionMNIST,20,43,0,0
FashionMNIST,20,44,0,0
FashionMNIST,20,45,0,0
FashionMNIST,20,46,0,0
FashionMNIST,20,47,0,0
FashionMNIST,20,48,0,0
FashionMNIST,20,49,0,0
FashionMNIST,30,0,-1,1
FashionMNIST,30,1,-1,1
FashionMNIST,30,2,-1,1
FashionMNIST,30,3,-1,1
FashionMNIST,30,4,-1,1
FashionMNIST,30,5,-1,1
FashionMNIST,30,6,-1,1
FashionMNIST,30,7,-1,1
FashionMNIST,30,8,-1,1
FashionMNIST,30,9,-1,1
FashionMNIST,30,10,-1,1
FashionMNIST,30,11,-1,1
FashionMNIST,30,12,-1,1
FashionMNIST,30,13,-1,1
FashionMNIST,30,14,-1,1
FashionMNIST,30,15,-1,1
FashionMNIST,30,16,-1,1
FashionMNIST,30,17,-1,1
FashionMNIST,30,18,-1,1
FashionMNIST,30,19,-1,1
FashionMNIST,30,20,-1,1
FashionMNIST,30,21,-1,1
FashionMNIST,30,22,-1,1
FashionMNIST,30,23,-1,1
FashionMNIST,30,24,-1,1
FashionMNIST,30,25,-1,1
FashionMNIST,30,26,-1,1
FashionMNIST,30,27,-1,1
FashionMNIST,30,28,-1,1
FashionMNIST,30,29,-1,1
FashionMNIST,30,30,-1,1
FashionMNIST,30,31,-1,1
FashionMNIST,30,32,-1,1
FashionMNIST,30,33,-1,1
FashionMNIST,30,34,-1,1
FashionMNIST,30,35,-1,1
FashionMNIST,30,36,-1,1
FashionMNIST,30,37,-1,1
FashionMNIST,30,38,-1,1
FashionMNIST,30,39,-1,1
FashionMNIST,30,40,-1,1
FashionMNIST,30,41,-1,1
FashionMNIST,30,42,-1,1
FashionMNIST,30,43,-1,1
FashionMNIST,30,44,-1,1
FashionMNIST,30,45,-1,1
FashionMNIST,30,46,-1,1
FashionMNIST,30,47,-1,1
FashionMNIST,30,48,-1,1
FashionMNIST,30,49,-1,1
FashionMNIST,44,11,0,2
FashionMNIST,44,14,0,2
FashionMNIST,44,15,0,2
FashionMNIST,44,16,0,2
FashionMNIST,44,17,0,2
FashionMNIST,44,18,0,2
FashionMNIST,44,19,0,2
FashionMNIST,44,20,0,2
FashionMNIST,44,21,0,2
FashionMNIST,44,22,0,2
FashionMNIST,44,23,0,2
FashionMNIST,44,24,0,2
FashionMNIST,44,25,0,2
FashionMNIST,44,26,0,2
FashionMNIST,44,27,0,2
FashionMNIST,44,28,0,2
FashionMNIST,44,29,0,2
FashionMNIST,44,31,0,2
FashionMNIST,44,42,0,2
